cupc,citem,mprice,sku,cuom,istdpk,pos18
"4800888288189","SURF POW BF 1.1KG+3 BF FS 28ML","122.00","847818.00","PC","6","SURF P BL-FR1100G"
"4800888288196","SURF POW CB 1.1KG+3 BF FS 28ML","111.50","847814.00","PC","6","SURF PCB1100G-1180"
"4800888288202","SURF POW BF 2.2KG+6S FS BF28ML","240.25","847813.00","PC","6","SURF P B2.2K+6B28M"
"4800888288240","REXONA MEN R-ON I/COOL45M B1T1","135.00","846212.00","PC","24","RXNA MEN R-ON IC45"
"4800888288257","REXONA WOMN R-ON P/DRY45M B1T1","135.00","846214.00","PC","24","RXNA WMN R-O PD45M"
"4800888288264","DOVE R/O U/R LILY40MLG2@80%OFF","171.60","846367.00","PC","24","DOVE R-O U-R L40ML"
"4800888288271","DOVE BS U/R LILY135MLG2@80%OF","348.00","846368.00","PC","12","DOVE BS U-R L135ML"
"4800888288288","AXE DEO BS DTMPT135MLG2@80%OFF","335.00","846362.00","PC","12","AXE DEO DTMPT135ML"
"4800888288295","REXNA MN R/O QNTM45MLG2@80%OFF","162.00","846369.00","PC","24","REXONA MEN R-O45ML"
"4800888288301","REXNA WMN R/O S/C45MLG2@80%OFF","162.00","846370.00","PC","24","REXONA WMN R-O45ML"
"4800888288318","AXE DEO RON DRK TMP40ML B1G80%","174.00","855977.00","PC","24","AXE DEO DRK TMP40M"
"4800888288332","KNRR LQD SSNNG ORG2L+SQZBTL400","575.90","848218.00","PC","4","KNRLQSSNO2L+SQB400"
"4800888288349","KNORR OYSTRSC1KG+SPR Q BHN227G","252.25","848217.00","PC","6","KNRROYS1KG+SPQB227"
"4800888288356","LC TS ISLNDDRSSNG1L+KNLQSSN130","390.50","848221.00","PC","6","LCTISLDD1L+KLQS130"
"4800888288363","LC CAESAR DRSSNG1L+KNRLQSSN130","390.50","848220.00","PC","6","LCCSRD1L+KNLSSN130"
"4800888288370","LC GRLCRNCHDRSNG1L+KNRLQSSN130","390.50","848219.00","PC","6","LCGRDS1L+KNLSSN130"
"4800888288455","SURF POW ROSE FRESH 1100G","117.00","851677.00","PC","12","SURF POW R-FR1100G"
"4800888288462","SURF POWDER ROSE FRESH 2200G","229.75","851678.00","PC","6","SURF POW R-FR2200G"
"4800888288479","SURF POWDER ROSE FRESH 3.6KG","362.00","851679.00","PC","4","SURF POW R-FR3.6KG"
"4800888288509","BREEZE LIQ PM LUXE RED 60G 6+1","87.75","849561.00","PC","16","BRZE LIQ P LX-R60G"
"4800888288530","SURF FAB ANTIBAC 25ML 5+1","31.25","849570.00","PC","60","SURF FAB ANT25M5+1"
"4800888288547","SURF FAB ANTBC 670ML 2S@199","199.00","849571.00","PC","6","SURF FB ANTB670M2S"
"4800888288714","DOVE SH BOND REPAIR 12ML 12S","83.75","851974.00","PC","24","DOVE SH RP12ML 12S"
"4800888288721","DOVE CNDTNR BND RPAIR 10ML 12S","95.25","851975.00","PC","24","DOVE CNDTNR10M 12S"
"4800888288882","BREEZE POW ABLC70 6S+1LIQ FC","88.00","836623.00","PC","24","BREEZE PWABLC70 6S"
"4800888288899","BREEZE POW RGLD64 6S+1LIQ RG","88.00","836624.00","PC","24","BREEZE PW RGD64 6S"
"4800888288905","SURF LIQ CB 2.5+FAB LP @25%OFF","319.25","849566.00","PC","4","SURF LQ CB2.5FABLP"
"4800888288912","SURF LIQ RF 2.5+FAB BF @25%OFF","319.25","849567.00","PC","4","SURF LQ RF2.5FABBF"
"4800888288929","SURF LIQ SUNF+FAB FB @25%OFF","319.25","849568.00","PC","4","SURF LIQ SNF+FABFB"
"4800888288974","CREAMSILK TMT R-STRAIGHT500ML","299.00","854404.00","PC","6","CRMSLK R-STRGHT500"
"4800888288981","CREAMSILK TMT DMG REPAIR500ML","299.00","854405.00","PC","6","CRMSLK DMG RPR500M"
"4800888289001","CREAMSILK TMT HYDR&VOLUME500M","415.00","858411.00","PC","6","CSILK TMT H&V500M"
"4800888289018","CREAMSILK TMT RS500 B1G1 P299","299.00","856387.00","PC","3","CRMSLK TMT RS500ML"
"4800888289025","CREAMSILK TMT DR500 B1G1 P299","299.00","856388.00","PC","3","CRMSLK TMT DR500ML"
"4800888289049","CRM SLK TMTHDYR&VL500B1G2ND80P","498.00","861195.00","PC","3","CS TMT HYDR&VOL500"
"4800888289117","DOVE SHAMPOO BOND REPAIR 185ML","197.00","851970.00","PC","24","DOVE SH BND RP185M"
"4800888289124","DOVE SHAMPOO BOND REPAIR 300ML","315.00","851971.00","PC","12","DOVE SH BND RP300M"
"4800888289131","DOVE CNDTNR BOND REPAIR 170ML","210.00","851972.00","PC","24","DOVE CNDTNR RP170M"
"4800888289148","DOVE CNDTNR BOND REPAIR 300ML","345.00","851973.00","PC","12","DOVE CNDTNR RP300M"
"4800888289186","REXONA POW D/DEO3ML B12F3 RXNA","80.95","849975.00","PC","20","RXNA POW B12G3 FR"
"4800888289193","REXONA MEN IC DEO3MLB12F/3RXNA","80.95","849976.00","PC","20","RXNA IC B12GT3 RXN"
"4800888289278","SSILK SH PNK350 GET CSLK 50PRC","278.75","856124.00","PC","6","SSLK P350 G CSLK G"
"4800888289285","SSILK SH GRN350M GT CSLK 50PRC","278.75","856125.00","PC","6","SSLK G350 G CSLK G"
"4800888289315","CLOSE UP RDHOT TP2X11G4+TP6 F2","87.50","850837.00","PC","12","CLSE UP RH TP2X11G"
"4800888289339","SURF FABCON GNTL FRSH 25ML 12S","63.00","854904.00","PC","30","SURF FAB G-FRSH25M"
"4800888289353","PONDS HYDRA MIR ULTR GEL FC10G","39.00","853685.00","PC","24","PONDS ULTR GL FC10"
"4800888289360","PONDS HYDRA MIR ULTR GEL FM10G","89.00","853710.00","PC","24","PONDS ULTR GL FM10"
"4800888289414","SURF POW CB65G 6+1 LIQ CB 64ML","41.50","836616.00","PC","16","SURF CB65G 6+1 LIQ"
"4800888289421","SURF POW FRSH65-70G6S B1G1 LIQ","41.50","850862.00","PC","16","SRF F65-70G6S B1G1"
"4800888289438","SURF POW SF65G6S B1G1LIQ SF64M","38.50","854301.00","PC","1","SURF POW SF65G 6S"
"4800888289452","SURF POW C-BLLSM65G B1G1FSFB28","37.50","854302.00","PC","1","SURF PW C-BLSSM65G"
"4800888289469","SURF POW CB 65G6+1SRF FS LP28M","37.50","849040.00","PC","1","SURF POW CB65G6+1S"
"4800888289476","SURF POW R-FRSH65G 6+1 SURF FB","38.50","858280.00","PC","1","SURF POW RF65G 6+1"
"4800888289483","SURF POW FRSH65G-70G6S B1G1 FS","37.50","850863.00","PC","1","SRF F65-70G6S B1G1"
"4800888289506","SURF POW CBLSSM1100G-1180 B1G3","117.00","850861.00","PC","6","SURF CB 1110G-1180"
"4800888289544","SURF POW KALAMANSI 57G 6+1","41.50","849573.00","PC","40","SURF POW KLMNSI57G"
"4800888289551","SURF POW PRPLE BLOOMS 65G 6+1","41.50","849572.00","PC","40","SURF PW P-BL65G6+1"
"4800888289568","SURF POW TAWAS 57G 6+1","41.50","849574.00","PC","40","SURF POW TAWAS 57G"
"4800888289575","SURF BAR BLUE360G B1G2N@25%OFF","38.00","849569.00","PC","18","SURF BAR BLUE360G"
"4800888289599","SURF FABCON BLOSSOM FRSH 1000M","191.75","854907.00","PC","12","SURF FB BLSM-F1000"
"4800888289605","SURF FABCON LUXE PERFUME 1000M","191.75","854908.00","PC","12","SURF FL PRFM1000ML"
"4800888289612","SURF FABCON FRESH&BLOOM 1000ML","191.75","854909.00","PC","12","SURF FAB F&B1000ML"
"4800888289650","CREAMSILK TMT R-STRAIGHT250ML","179.00","854402.00","PC","24","CRMSLK R-STRGHT350"
"4800888289667","CREAMSILK TMT DMG REPAIR250ML","179.00","854403.00","PC","24","CRMSLK DMG RPR250M"
"4800888289681","CREAMSILK TMT HYDR&VOLUME250M","250.00","858410.00","PC","24","CSILK TMT H&V250M"
"4800888289698","SURF FABCON GENTLE FRESH 1000M","184.00","854905.00","PC","12","SURF FB GNTL-F1000"
"4800888289704","BREEZE POW ABLCH90G 3XWSH 6+1","120.00","849564.00","PC","15","BRZE PW AB90G3XWSH"
"4800888289711","BREEZE POW RGLD 87G 3XWSH 6+1","120.00","849565.00","PC","15","BRZE PW RG87G3XWSH"
"4800888289728","KNORR BN CBS SHRMP SVRS 120G","75.00","854669.00","PC","36","KNR B/CBS SHRP150G"
"4800888289759","PONDS CRM UV MRCL BRGHT NEW30G","270.00","851623.00","PC","24","PONDS BRGHT NEW30G"
"4800888289766","PONDS CRM UV MRCL HYDRT NEW30G","270.00","851624.00","PC","24","PONDS HYDRAT NEW30"
"4800888289780","REXONA MN RON IC50-45M F-BN PC","130.00","851079.00","PC","24","RXNA C50-45 FBN PC"
"4800888289797","REXONA WMN RON IC50-45 F-BN PC","132.00","851081.00","PC","24","RXNA WMN IC50-45"
"4800888289834","LADYS CHCE MYNS SPCMAYO 100ML","55.00","854867.00","PC","24","LC MYNS S MY 100ML"
"4800888289841","LADYS CHCE MYNS RSTD GRL100ML","55.00","854868.00","PC","24","LC MYNS R GLC100ML"
"4800888289858","LADYS CHCE MYNS CHDDR 100ML","55.00","854869.00","PC","24","LC MYNS CHD 100ML"
"4800888289865","LADYS CHOICE JPNSE MAYO 290ML","150.00","855176.00","PC","12","LC JPNS MAYO 290ML"
"4800888289872","LADYS CHOICE JPNSE MAYO 100ML","55.00","855177.00","PC","24","LC JPNSE MAYO100ML"
"4800888289889","DOVE RADIANT C-SRM-S+CLLGN 40G","266.75","854081.00","PC","12","DOVE SRM-S+CLLGN40"
"4800888289896","DOVE RADIANT C-SRM-S+VIT C-E40","266.75","854082.00","PC","12","DOVE S-T+VIT C-E40"
"4800888289902","AXE DEO STICK BLUE LAVENDER40G","243.75","854928.00","PC","12","AXE DS BLUE LAV40G"
"4800888289919","AXE DEO STICK AQUA BERGAMOT40G","243.75","854929.00","PC","12","AXE DS AQU BRGMT40"
"4800888289926","KNORR CHCKN CBE10G BUY12PCS G2","74.00","851469.00","PC","48","KNORR CCB10GB12PG2"
"4800888289933","KNORR PORK CUBE10G BUY12PCS G2","74.00","851471.00","PC","48","KNORR PCB10GB12PG2"
"4800888290007","DOVE D-RON INVI DRY40M B1G280%","180.00","851768.00","PC","24","DOVE D M+C I-DRY40"
"4800888290014","DOVE RDNT+CR R-ON PNK45B1G280%","216.00","851767.00","PC","24","DOVE R+C R-O PNK45"
"4800888290038","REXONA WMN R-ON BRRYGL45 B1G80","186.00","853629.00","PC","24","RXN W R-ON BRYGL40"
"4800888290045","DOVE BS M+C ID150-135M B1G280%","370.00","851769.00","PC","12","DOVE IDRY 150-135M"
"4800888290052","AXE DEO I-CHLL150-135M B1G280%","335.00","851770.00","PC","12","AXE ICHLL150-135ML"
"4800888290069","AXE BDYSPRY BL-LAV135M B1G280%","396.90","851771.00","PC","12","AXE BS B-LAVNDR135"
"4800888290076","DOVE RADIANT C-SRM-S+VITC-E135","315.00","854080.00","PC","12","DVE CSS+VIT C-E135"
"4800888290090","DOVE SRM VIT C90G+DOVEGLSS R-O","429.50","850104.00","PC","16","DOVE SRM VIT C 90G"
"4800888290106","DOVE SRM CLLGN90G+DOVEGLSS R-O","429.50","850105.00","PC","16","DOVE SRM CLLGEN90G"
"4800888290113","DOVE SRM OMEGA90G+DOVEGLSS R-O","429.50","850107.00","PC","16","DOVE SRM OMEGA 90G"
"4800888290120","LADYS CHOICE RL MY DY 130ML","56.30","854870.00","PC","24","LC REAL MY DY130ML"
"4800888290137","LADYS CHOICE CHICKEN SPRD 46ML","22.50","854873.00","PC","96","LC CHKN SPD 46ML"
"4800888290144","BABYDOVE BDYWSH400G F-CLRNG BK","335.00","851665.00","PC","6","BABYDOVE B-WASH400"
"4800888290168","BREEZE LIQ FRSH CLN 3XW 87G 6S","119.75","856151.00","PC","18","BREEZE F-CLN3XW87G"
"4800888290175","BREEZE LIQ RSGOLD 3XWSH 84G 6S","119.75","856150.00","PC","18","BREEZE RSGLD3XW84G"
"4800888290182","BREEZE LIQ FRSH CLEAN 535G","117.75","856153.00","PC","24","BREEZE FRSH-CLN535"
"4800888290199","BREEZE LIQ ROSE GOLD 515G","117.75","856152.00","PC","24","BREEZE ROSEGLD515G"
"4800888290205","BREEZE LIQ FRSH CLEAN 1.3KG","274.75","856155.00","PC","9","BREEZE F-CLN 1.3KG"
"4800888290212","BREEZE LIQ ROSEGOLD 1.2KG","274.75","856154.00","PC","9","BREEZE RSGLD 1.2KG"
"4800888290274","KNORRLQDSSN250ML+1BGPRCO80MLSP","99.25","851538.00","PC","24","KNLQDS250+BPCO80SP"
"4800888290281","LADYS CHOICE SS BCN DOY 220ML","107.00","854871.00","PC","24","LC SS BCN DY220ML"
"4800888290298","LADYS CHOICE SS BCN DOY 470ML","220.50","854872.00","PC","12","LC SS BCN DY 470ML"
"4800888290342","KNORR CRISPY BRDNG PWDR MX 1KG","340.00","855950.00","PC","10","KNRR CBRDGPDRMX1KG"
"4800888290373","DOVE R+C D-SRM NCNMD CRMDS40ML","167.25","854927.00","PC","24","DOVE R+C D-SRM40ML"
"4800888290380","DOVE R+C R-ON NCNMD CRMDS45ML","180.00","854926.00","PC","24","DOVE R+C R-ON45ML"
"4800888290434","DOVE CONDI AD HFALL RCVRY170ML","216.00","860131.00","PC","24","DOVE CON HF R170ML"
"4800888290441","DOVE SH AD OIL CONTROL 185ML","230.00","860132.00","PC","24","DOVE SH AD OIL 185"
"4800888290458","LADYS CHOICE CHKN+TUMBLER220ML","132.00","854662.00","PC","12","LC CHKN+TMBLR220ML"
"4800888290465","LADYS CHOICE CHKN+SNDWKPR470ML","264.00","854667.00","PC","6","LC CHKN+S.KPR470ML"
"4800888290472","LADYS CHOICE HAM+TUMBLER 220ML","132.00","854668.00","PC","12","LC HAM+TMBLR 220ML"
"4800888290489","DOVE B+C DRY SRM CLLGN40 B1G80","234.00","853628.00","PC","24","DOVE D-SRM+CLLGN40"
"4800888290496","REXONA RON I-DRY MN50-45 B1G80","162.00","853631.00","PC","24","REXNA I-DRY M50-45"
"4800888290502","REXONA WMN D-SRM BRRY45 B1G80","216.00","853630.00","PC","24","RXN W D-SRM BRRY45"
"4800888290519","SURFPW RF1100 B1G6 SURFFS BF28","111.50","854182.00","PC","6","SURF PW RFRSH1100G"
"4800888290526","SURFPW RF2200 B1G3 SURFFS BF28","219.00","854188.00","PC","6","SURF PW RFRSH2200G"
"4800888290533","CLEAR SHAMPOO CRE&STYLE12MX12S","82.00","857935.00","PC","24","CLR SH CS 12MX12S"
"4800888290540","CLEAR SHAMPOO CARE&STYLE170ML","175.00","857937.00","PC","24","CLR SH CR&STYLE170"
"4800888290557","CLEAR SHAMPOO CARE&STYLE 320ML","269.00","857938.00","PC","12","CLR SH CR&STYLE320"
"4800888290564","LADYS CHOICE CHDR CHSE MAYO1KG","409.00","857221.00","PC","6","LADYS CH CHDCHM1KG"
"4800888290595","DOVE S-CON KRTN S&S300M BGF40","552.00","859511.00","PC","6","DOVE SC K SS300B40"
"4800888290601","DOVE S-CN CR INTNS RPR300BGF40","552.00","859512.00","PC","6","DOVE SC IR300BGF40"
"4800888290618","DOVE SH KRTN STRT&SLKY300BGF40","504.00","859504.00","PC","6","DOVE K SS300 BGF40"
"4800888290625","DOVE SH CR INTNSE RPR300 BGF40","504.00","859505.00","PC","6","DOVE SH IR300BGF40"
"4800888290632","DOVE S-CON KRTN S&S170M BGF40","336.00","859509.00","PC","12","DOVE SK SS170BGF40"
"4800888290649","DOVE S-CN CR INTNSE R170 BGF40","336.00","859510.00","PC","12","DOVE SC IR170BGF40"
"4800888290656","DOVE SH KRTN STRT&SLKY185BGF40","315.00","859506.00","PC","12","DOVE SK SS185BGF40"
"4800888290663","DOVE SH CR INTNSE RPR185 BGF40","315.00","859508.00","PC","12","DOVE SC IR185BGF40"
"4800888290670","KNORR LIQUID SEASONING CHL 2L","609.10","857620.00","PC","4","KNR LQ SSN CHL 2L"
"4800888290687","REXONA MEN SPRY AR B-FRSH135ML","280.00","860244.00","PC","12","RXNA MN AR BF135ML"
"4800888290694","REXONA MN SPRY AR OCN MINT135M","280.00","860245.00","PC","12","RXNA MN AR OM135ML"
"4800888290700","REXONA MN R-ON AR BRGMT FRSH45","150.00","860246.00","PC","24","RXNA MN R-ON BF45M"
"4800888290717","REXONA MN R-ON AR OCEAN MINT45","150.00","860247.00","PC","24","RXNA MN R-ON OM45M"
"4800888290977","DOVE RDNT+CR R-0 ORNGE45 B1G25","326.25","854459.00","PC","24","DOVE RC R-0 ORNG45"
"4800888290984","DOVE RDNT+CR R-ON PNK45 B1G25%","326.25","854460.00","PC","24","DOVE RC R-ON PNK45"
"4800888291004","DOVE MN DEO CMFRT150-135 B1G25","546.25","854458.00","PC","12","DOVE MN D CMFRT150"
"4800888291011","SSILK SH A-D H&S350M G2ND40PRC","328.00","856122.00","PC","6","SSLK A-D H&STRN350"
"4800888291028","SSILK SH GREEN350ML G2ND 40PRC","328.00","856120.00","PC","6","SSILK SH GRN 350ML"
"4800888291035","SSILK SH PINK 350ML G2ND 40PRC","328.00","856119.00","PC","6","SSILK SH PINK350ML"
"4800888291042","SSILK SH A-D H&S170M G2ND40PRC","204.75","856121.00","PC","12","SSILK SH H&STRN170"
"4800888291059","SSILK SH GREEN180ML G2ND 40PRC","204.75","856118.00","PC","12","SSILK SH GRN 180ML"
"4800888291066","SSILK SH PINK 180ML G2ND 40PRC","204.75","856117.00","PC","12","SSILK SH PINK180ML"
"4800888291097","DOVE DEO RDNT+CARE DRYSERUM7ML","35.00","858213.00","PC","72","DOVE DEO R+C DS7ML"
"4800888291103","REXONA WMN VIT+B-SRM SCHT 7ML","30.00","856875.00","PC","72","RXN WMN VIT+BS 7ML"
"4800888291110","BREEZE LIQ FRSH CLN 3XW 85G6+1","119.75","856392.00","PC","16","BREEZE LD F-CLN3XW"
"4800888291127","BREEZE LIQ RSGLD3XW84G 6+1","119.75","856395.00","PC","16","BREEZE LD RG3XW84"
"4800888291134","BREEZE LIQ FRSH CLN TPR 535G","98.25","856448.00","PC","24","BREEZE LIQ TPR535G"
"4800888291141","BREEZE LIQ RSEGOLD TPR 515G","98.25","856450.00","PC","24","BREEZE LD RSGLD515"
"4800888291158","BREEZE LIQ FRSH CLN TPR 1.3KG","227.00","856451.00","PC","9","BREEZE LD F-C1.3KG"
"4800888291165","BREEZE LIQ RSEGOLD TPR 1.2KG","227.00","856452.00","PC","9","BREEZE LD RSGLD1.2"
"4800888291295","DOVE COND FERULC UV RPAIR170ML","216.00","861803.00","PC","24","DOVE CND FRLC R170"
"4800888291301","DOVE COND FERULC UV RPAIR300ML","380.00","861804.00","PC","12","DOVE CND FRLC R300"
"4800888291349","DOVE SH FERULIC UV REPAIR185ML","230.00","861805.00","PC","24","DOVE SHMPFRLC R185"
"4800888291356","DOVE SH FERULIC UV REPAIR300ML","330.00","861806.00","PC","12","DOVE SHMPFRLC R300"
"4800888291363","BREEZE LIQ PM FRSH CLN2.4K TPR","415.25","856453.00","PC","4","BREEZE LQ PM FC2.4"
"4800888291387","BREEZE LIQ PM RSGLD 2.3KG TPR","415.25","856454.00","PC","4","BREEZE L PM RG2.35"
"4800888291394","BREEZE LIQ PM RSGLD 2.85KG TPR","530.00","856455.00","PC","4","BREEZE L PM RG2.85"
"4800888291462","CLEAR SH MEN C-SPRT320M 40 OFF","430.50","857934.00","PC","6","CLEAR MN C-SPRT320"
"4800888291479","CLEAR SH MEN C-SPRT170M 40 OFF","280.00","857933.00","PC","12","CLEAR MN C-SPRT170"
"4800888291509","CREAMSILK TMT HYDRA&VOLUME22M","15.25","858409.00","PC","144","CSLIK TMT H&V22ML"
"4800888291516","CSILK PNK350+TMTPNK250M 50 OFF","366.75","856216.00","PC","6","CSILK SS PINK350ML"
"4800888291523","CSILK GRN350+TMT DRPR250 50OFF","366.75","856220.00","PC","6","CSILK HFLL GRN350M"
"4800888291547","CREAMSILK T-KRTN U-STRT20M 3S","39.00","859451.00","PC","48","CSILK T-KRTN US20M"
"4800888291554","CREAMSILK T-KRTN R-SHNE20M 3S","39.00","859452.00","PC","48","CSILK KRTN R-SHN20"
"4800888291585","KNORR LQD SEASONING CHL12MLX6S","39.00","865387.00","PC","48","KNORR LQDSSNGC12X6"
"4800888291615","DOMEX CLASSIC BLUE500ML B@93.5","93.50","855156.00","PC","24","DMX CLSSC BLUE500M"
"4800888291622","DOMEX THICK PINK PW500M B@93.5","93.50","855157.00","PC","24","DMX THCK PNK PW500"
"4800888291677","DOVE SH FERULC UV RPAIR12ML12S","90.00","861808.00","PC","24","DOVE SHMP R12ML12S"
"4800888291684","DOVE CON FERULC UV RPAIR10ML6S","46.00","861809.00","PC","48","DVE CNDFRLC R10M6S"
"4800888291691","DOVE TMT BOND REPAIR 15ML 6S","48.00","862960.00","PC","48","DOVE TMT BR15ML 6S"
"4800888291707","DOVE TMT FERULC UV RPAIR15ML6S","48.00","861810.00","PC","48","DOVE TRTMNTR15ML6S"
"4800888291721","LC REAL MAYO 80ML BY3 G1 BT33G","103.95","858216.00","PC","12","LC RLMAYO80MB3G1BT"
"4800888291738","LC CHKN SPRD 80ML BY3 G1 BT33G","120.00","858218.00","PC","12","LCCKSP80MB3G1BT33G"
"4800888291745","LC BACON SPRD80ML BY3 G1 BT33G","120.00","858226.00","PC","12","LCBCSP80MB3G1BT33G"
"4800888291752","LC HAM SPRD 80ML BY3 G1 BT33G","120.00","858224.00","PC","12","LCHMSP80MB3G1BT33G"
"4800888291882","DOVE WMN FRSHLILY RN40M B1G TP","209.00","857954.00","PC","24","DOVE W F-LILY RN40"
"4800888292162","BREEZE POW FRSH CLN 2.6K TPR","415.25","856397.00","PC","6","BREEZE PW F-C2600G"
"4800888292179","BREEZE POW RSGOLD 2.4K TPR","415.25","856398.00","PC","6","BREEZE POW RG2490G"
"4800888292247","SUNSILK WONDERMIST PINK 50ML","199.00","863348.00","PC","12","SNSLK WNDRMST P50M"
"4800888292285","KNORR CHCKN CBE10G BUY12PCS G2","74.00","851469.00","PC","48","KNORR CCB10GB12PG2"
"4800888292292","KNORR PORK CUBE10G BUY12PCS G2","74.00","851471.00","PC","48","KNORR PCB10GB12PG2"
"4800888292315","KNORR PORK CUBE 120G GT/LQD/S","71.50","836401.00","PC","36","KNORR PRK-CB G-L-S"
"4800888292322","KNORR BEEF CUBE 120G GET/LQD/S","71.50","836399.00","PC","36","KNORR B-CUBE G-L-S"
"4800888292339","KNORR CHCKN CUBE 120G GT/LQD/S","71.50","836400.00","PC","36","KNORR CKN-CB G-L-S"
"4800888292377","SURF FAB BLSSM FRSH1.6 BOGO40","479.25","858431.00","PC","3","SURF FBF1.6 BOGO40"
"4800888292384","SURF FS FRSH&BLM1.6L BOGO40","479.25","858432.00","PC","3","SURF F&B1.6 BOGO40"
"4800888292391","SURF FAB LUXE PRFME1.6 BOGO40","479.25","858433.00","PC","3","SRF FBLP1.6 BOGO40"
"4800888292407","SURF FAB ANTBC W-MNT1.6 BOGO40","479.25","858434.00","PC","3","SURF ANT1.6 BOGO40"
"4800888292421","KNORRLQDSSN250ML+1BGPRCO80MLSP","99.25","851538.00","PC","24","KNLQDS250+BPCO80SP"
"4800888292469","CLOSE UP RED175G-173GX2S FR TB","154.00","826553.00","PC","36","CLSE UP R175-173G"
"4800888292476","CLOSE UP GRN175G-173GX2S FR TB","154.00","826554.00","PC","36","CLSE UP G175-173G"
"4800888292483","REXONA DEO LT PWD DRY3ML B10G2","70.75","859863.00","PC","30","RXNA D-DRY3M B10G2"
"4800888292490","REXONA DEO LOT I-COOL3ML B10G2","70.75","859864.00","PC","30","RXNA DEO IC3 B10G2"
"4800888292506","REXONA DEO LOT QNTM3ML B10G2","70.75","859865.00","PC","30","RXNA D QNTM3 B10G2"
"4800888292582","SUNSILK WNDRMST PNK25M HK CHRM","375.00","865526.00","PC","12","SUNSILK WM P25M HC"
"4800888292643","KNORR SOUP CKNNDL63G2S 22P OFF","88.00","860147.00","PC","29","KNR SP CKN NDL 63G"
"4800888292650","KNORR SGANG SMLOC22G6S/FKBT52G","91.50","826596.00","PC","24","KSGNS22G6S-FKBT52G"
"4800888292667","KNORRSNGNGGBI22G6S/F1KPKOBT52G","93.00","826597.00","PC","24","KSGB22G6S-F1KBT52G"
"4800888292674","B4 LC R MAY DOY220ML 15PCT OFF","323.85","860225.00","PC","6","LC R MAY DOY220ML"
"4800888292681","B1TS LC CHK27ML+2BTR FRTMLK33G","84.00","860215.00","PC","12","LC CHK27ML B1TS+2B"
"4800888292698","B1TS LC HM27ML+2BTR FRTMLK33G","84.00","860217.00","PC","12","LC HM27ML+2BTR FRT"
"4800888292704","B1TS LC BCN27ML+2BTR FRTMLK33G","84.00","860197.00","PC","12","LC BC27MLB1TS+2BTR"
"4800888292711","B3LC R MAY 80ML+2BTR FRTMLK33G","103.95","860224.00","PC","12","B3LC MAY 80ML+2BTR"
"4800888292827","KNR C&P CB PTY60G+2LIQ SS12ML","73.50","862646.00","PC","36","KNR C&P CB PTY60G"
"4800888292834","KNORR LIQUID SEASONING12ML12+2","78.00","860234.00","PC","24","KNRR LIQ SSNG12ML"
"4800888292841","KNR C CB10G 12+2LIQ SEAS 12ML","74.00","862644.00","PC","48","KR CHK CBS10G12S+"
"4800888292858","KNR P CB 10G+2 LIQ SEAS12ML","74.00","862645.00","PC","48","KNR P CB 10G+2 LIQ"
"4800888292865","KNORR SNGANGSAMPALOC44G3PC GTF","88.95","764308.00","PC","24","KNORR S-SMP44G3PC"
"4800888292872","KNORR SNGANG W/GBI44G3S+MINOLA","89.25","785493.00","PC","24","KNORR S-WGBI44G3S"
"4800888292889","SURF POW CB 1100G+2S POW CB","117.00","860431.00","PC","12","SURF P CB1100+2S P"
"4800888292896","SURF POW SF 1100G+2S POW SF65G","117.00","860432.00","PC","12","SURF P SF1100+2S P"
"4800888292902","SURF POW RF 1100G+2S POW RF65G","117.00","860433.00","PC","12","SURF P RF1100+2S P"
"4800888292919","SURF POW CB 2200G+4S POW CB65G","229.75","860434.00","PC","6","SURF P CB2200G+4S"
"4800888292926","SURF POW SF 2200G+4S POW SF65G","229.75","860435.00","PC","6","SURF P SF2200G+4S"
"4800888292933","SURF POW RF 2200G+4S POW RF65G","229.75","860436.00","PC","6","SURF P RF2200+4S P"
"4800888293114","SURF FAB GNTL FRSH 25ML 5+1","26.25","860420.00","PC","60","SURF FAB GF25M 5+1"
"4800888293121","SURF FAB BLSM FR1000ML BOGO40%","306.75","860421.00","PC","6","SURF F BF1000 BOGO"
"4800888293138","SURF FAB LUXE PRFM1000MBOGO40%","306.75","860422.00","PC","6","SURF F LP1000 BOGO"
"4800888293145","SURF FAB FR&BLM 1000ML BOGO40%","306.75","860423.00","PC","6","SURF F F&B1000BOGO"
"4800888293152","SURF FAB GNTL FRSH1000MBOGO40%","294.50","860424.00","PC","6","SURF F GF1000MBOGO"
"4800888293169","SURF LIQ CH BLSM 900ML BOGO40%","174.50","860425.00","PC","6","SURF L CB900 BOGO"
"4800888293176","SURF LIQ RS FRSH 900ML BOGO40%","174.50","860426.00","PC","6","SURF L RF900M BOGO"
"4800888293183","SURF LIQ SUNFRSH 900ML BOGO40%","174.50","860427.00","PC","6","SURF L SF900M BOGO"
"4800888293213","SURF LIQ CH BLSM  2.5L BOGO40%","480.00","860428.00","PC","2","SURF L CB2.5L BOGO"
"4800888293220","SURF LIQ RSE FRSH2.5L BOGO40%","480.00","860429.00","PC","2","SURF L RF2.5L BOGO"
"4800888293237","SURF LIQ SUNFRSH 2.5L BOGO40%","480.00","860430.00","PC","2","SURF L SF2.5L BOGO"
"4800888293305","SSILK SH SMTH&MNGBL530-650 DOY","260.00","804300.00","PC","12","SSLK SM MGL530-650"
